DD2[][0],DD2[][1],DD2[][2],DD2[][3],DD2[][4],DD2[][5],DD2[][6],DD2[][7],DD2[][8],DD2[][9],DD2[][10],DD2[][11],DD2[][12],DD2[][13],DD2[][14],DD2[][15],DD2[][16],DD2[][17],DD2[][18],DD2[][19],DD2[][20],DD2[][21],DD2[][22],DD2[][23],DD2[][24],DD2[][25],DD2[][26],DD2[][27],DD2[][28],DD2[][29],DD2[][30],DD2[][31],DD2[][32],DD2[][33],DD2[][34],DD2[][35],DD2[][36],DD2[][37],DD2[][38],DD2[][39],DD2[][40],DD2[][41],DD2[][42],DD2[][43],DD2[][44],DD2[][45],DD2[][46],DD2[][47],DD2[][48],DD2[][49]
-0.0493632,0.235814,0.237916,0.103293,0.274614,0.349794,0.391681,0.323001,0.406509,0.370353,0.327282,0.194118,0.581058,0.440559,0.437551,0.453,0.193916,0.338539,0.164302,0.520015,0.261034,0.214144,0.238628,0.453669,0.160038,0.341813,0.527849,0.300369,0.100911,0.278554,0.154705,0.119664,0.175824,0.190691,0.0638595,0.198934,0.158763,0.212913,0.137902,0.226041,0.172385,0.216818,0.381423,-0.0755711,1.03755,0.55035,0.372126,-0.00522386,-0.0955862,0.0465475
-0.0119429,0.338983,0.049592,0.0239522,0.180132,0.282922,0.310225,0.228766,0.149968,0.367455,0.368633,0.122222,0.436212,0.446387,0.422041,0.429,0.229087,0.254019,0.0260871,0.430319,0.205128,0.147389,0.216256,0.140104,0.191288,0.201565,0.346187,0.287085,0.00910996,0.141331,0.0637958,0.0720784,0.155311,0.122372,-0.0701755,0.226761,0.176289,0.313605,0.232657,0.238599,0.166527,0.225909,0.172925,0.059754,0.922984,0.551351,0.275927,-0.088806,-0.0924937,0.0642432
-0.0143312,0.268239,-0.0822348,-0.142215,0.143488,0.176955,0.17331,0.0948544,0.183152,0.290198,0.24357,0.186275,0.349304,0.41725,0.374694,0.401,0.228137,0.142857,-0.00411899,0.245738,0.155107,0.0601454,0.167039,0.0415122,0.0946969,0.0182647,0.292202,0.205904,-0.0693765,0.124897,-0.0167464,0.127362,0.101831,0.0840842,-0.0617544,0.301362,0.131443,0.267486,0.329103,0.173827,0.128033,0.225909,0.0187748,0.0931459,0.764861,0.448649,0.253402,0.0365671,-0.0275514,0.0292363
0.102707,0.120855,-0.0960452,-0.17515,0.26181,0.0967077,0.0814557,0.148171,0.115507,0.245775,0.200202,0.239869,0.30585,0.487179,0.383673,0.363,0.202472,0.17593,0.034325,0.186805,0.144178,-0.0105749,0.102908,-0.0585619,-0.0378789,-0.0593608,0.329906,0.194096,-0.0616678,0.0797041,-0.0741628,0.208538,0.0205128,0.167417,0.037193,0.24926,0.0685566,0.186779,0.286802,0.187706,0.146444,0.247727,0.131423,0.0483305,0.587485,0.342343,0.261849,0.104478,0.0761877,0.034045
-0.00716572,0.198968,-0.0596358,-0.0344311,0.263576,0.0483538,-0.0294627,0.120893,0.170389,0.12506,0.113464,0.187582,0.355989,0.5338,0.35102,0.261,0.0646389,0.234727,0.094737,0.232765,0.147961,-0.052875,0.0820285,-0.147517,-0.0568182,-0.0541422,0.282776,0.17048,-0.134548,0.072309,-0.176236,0.211337,0.0395604,0.168168,0.120702,0.195382,0.0680413,0.155265,0.285956,0.140119,0.132636,0.202727,0.105731,0.0579966,0.440914,0.285686,0.223369,0.0156716,0.126792,-0.021158
-0.0883759,0.156964,-0.113622,0.0778444,0.353201,0.160494,0.0710571,0.205208,0.0823229,0.183969,-0.0277357,0.105882,0.345961,0.531469,0.241633,0.151,0.11597,0.338539,0.110298,0.191623,0.131988,0.0244548,0.0305742,0.0244626,-0.0511363,-0.0241356,0.25964,0.0833949,-0.0833918,0.0435497,-0.14992,0.23443,0.0813187,0.173423,0.144561,0.0722321,0.0252578,0.068409,0.28511,0.0892265,0.1,0.233636,0.212451,0.239016,0.353068,0.226026,0.215861,0.0425373,0.158842,-0.0715522
-0.133758,0.0840089,-0.0408034,0.188623,0.392494,0.149177,0.00519918,0.102294,0.0797702,0.151135,-0.0216843,-0.027451,0.283565,0.370629,0.258776,0.089,0.134981,0.273312,0.081007,0.242031,0.100883,-0.0178454,0.06264,0.127502,-0.0795455,0.00587089,0.206512,0.164576,-0.0693764,-0.00082172,-0.121212,0.227432,0.104029,0.238739,0.182456,0.0574305,0.0603092,0.0184473,0.309645,0.0641109,0.0548117,0.237273,0.309289,0.195079,0.211312,0.18959,0.272642,-0.00149249,0.0922124,-0.0777072
-0.189491,0.064849,-0.0872567,0.166168,0.337307,0.202675,0.084922,-0.0130191,-0.10402,0.146306,-0.0650529,-0.108497,0.116434,0.319347,0.0914287,-0.0540001,0.141635,0.412035,0.000457732,0.25871,0.166877,0.0456047,0.0618942,0.195701,0.028409,0.0117417,0.0282778,0.1631,-0.039944,-0.0788825,0.0789473,0.181246,0.153113,0.128378,0.0821051,0.0515098,-0.00257739,0.0522675,0.190355,0.072703,0.0225942,0.259091,0.366601,0.139719,0.141757,0.168168,0.341155,-0.0059701,0.0359853,-0.0428929
-0.238057,0.0537952,-0.0395479,0.124252,0.228256,0.255144,0.110918,-0.0142591,-0.00957242,0.147272,0.0358044,-0.093464,-0.0150418,0.280886,0.089796,-0.0610001,0.11692,0.231052,-0.102059,0.188658,0.124002,0.0984799,-0.0380312,0.249073,0.0691287,0.0117417,0.0428449,0.199262,-0.0140155,-0.0493015,0.143541,0.146956,0.0681318,0.12012,0.091228,0.0976909,-0.0154639,0.0553422,0.0829103,0.051553,0.0581591,0.243182,0.37747,0.082601,0.0421178,0.0628629,0.382919,-0.0223881,-0.0236153,-0.0388536
-0.132166,0.00663227,0.0947898,-0.028443,0.287417,0.306584,0.187175,0.0402977,0.0772176,0.0246258,-0.0237013,-0.0764707,0.0362117,0.264569,0.0514286,0.0390001,0.0760457,0.164906,-0.0718535,0.159377,0.0680959,0.0700596,1.12e-07,0.274277,-0.0198864,-0.00848005,0.076264,0.289299,-0.0168185,-0.0205424,0.196172,0.118964,0.0710624,0.0600602,0.102456,0.0544701,0.133505,0.0514989,0.0109984,0.0693983,0.0861926,0.169545,0.353755,-0.0641476,0.0226233,0.0326327,0.317691,0.000746245,0.0219286,0.00346214
-0.00477715,0.111275,0.150031,-0.0793413,0.350552,0.135802,0.0606586,0.0316181,0.0350989,0.00144869,-0.0468987,-0.0705882,0.125348,0.333333,-0.0187755,0.036,0.0266159,0.0868167,-0.0663614,0.217939,0.020597,0.0627893,0.0372856,0.263899,-0.0501894,0.0208742,0.141388,0.357934,0.00140159,-0.0879211,0.0287081,0.0678798,0.0102563,0.0360361,0.112281,0.0947305,0.186598,0.120677,0.0169204,0.171844,0.0112971,0.123636,0.296443,0.0413006,-0.01781,0.0436438,0.150164,-0.107463,0.0722519,0.0126947
0.0214968,0.0685336,0.0759574,-0.164671,0.440177,0.0956789,0.0883882,0.112213,0.0491384,0.0439401,0.00655575,0.0392158,0.130919,0.33683,-0.0342856,0.075,0.0693916,0.125402,-0.0526315,0.236101,0.00672558,0.0707205,0.106637,0.226835,-0.109849,0.0737117,0.229649,0.353506,0.116328,-0.0632704,-0.0151515,0.0153954,0.0483515,0.0503003,-0.0266667,0.0568382,0.192268,0.102229,0.158206,0.159286,-0.0330544,0.128636,0.389328,0.198594,0.0404331,0.0218219,0.0173628,-0.0492537,0.0955862,-0.0048086
-0.0055733,0.128224,0.00941635,-0.0988023,0.450773,-0.0133746,-0.00693245,0.0849348,-0.0695597,0.0680831,0.0700959,0.0215686,0.0841225,0.19697,0.054694,0.101,0.0665399,0.120808,-0.105721,0.246108,-0.0697772,-0.00793115,0.157345,0.111935,-0.0284092,0.161122,0.311911,0.24059,0.169587,0.0476582,0.0422647,-0.0384884,0.0989009,0.0548048,-0.0336842,0.00651265,0.12835,0.0538048,0.220812,0.132188,-0.0514644,0.161818,0.25,0.264499,0.0421178,0.0436438,0.0183013,-0.0440298,0.0480742,-0.022889
0.00796164,0.256448,-0.0458254,-0.143712,0.415894,0.0257201,-0.105719,0.0353379,-0.24314,0.0951231,0.156833,-0.0549019,-0.0261839,0.148019,0.0228572,-0.0330001,0.00570347,0.211759,-0.0956521,0.282802,-0.0336276,0.0707204,0.108874,0.0748703,0.0814394,0.179387,0.280206,0.134317,0.229152,0.0484798,0.0382775,-0.0552833,0.153114,-0.0210209,-0.0596491,-0.0550622,0.135567,0.0953115,0.138748,0.00793111,0.0188285,0.165,0.139328,0.252197,0.022864,0.0624626,0.0534959,0.0686567,-0.0129322,-0.0121177
-0.0119429,0.352248,-0.0458253,0.0404192,0.246799,0.095679,-0.114385,0.0725356,-0.114231,0.0941574,0.228442,-0.0732026,-0.128691,0.0174825,0.0318368,0.0220001,-0.013308,0.160312,-0.190847,0.253521,-0.0521228,0.0310641,0.0559284,0.134915,0.107008,0.249185,0.114824,0.17417,0.266994,0.0205423,-0.00956949,-0.184744,0.114286,-0.0247748,-0.0491228,-0.0876258,0.110825,0.142967,0.0626058,-0.100463,0.108368,0.111818,-0.0237153,0.187171,-0.0105897,0.0332333,0.028625,-0.00149256,-0.093056,-0.0215426
0.0692673,0.3493,0.0320151,-0.026946,0.187638,0.0895061,6.24e-08,0.0378178,0.0402041,0.0671173,0.100353,-0.109804,-0.106407,8.49e-08,0.0457144,0.0790001,-0.0703423,0.0445568,-0.0745994,0.175315,-0.0874317,0.000660963,0.0574198,0.163084,0.090909,0.259622,0.116538,0.21476,0.210231,0.0714873,-0.0215312,-0.118264,0.191941,-0.120871,-0.000701794,-0.171699,0.184536,0.119908,0.035533,-0.157304,0.0807532,-0.0109092,-0.120553,0.168717,0.0187726,0.014815,-0.0342563,0.0470149,-0.102615,-0.0201962
0.191879,0.271186,0.0533585,0.0194612,0.166446,-0.0843623,0.110918,0.0861749,0.0848755,0.112506,0.18003,-0.192157,-0.152089,0.0489511,0.0497959,-0.06,-0.114068,0.0353698,-0.0425628,0.123425,-0.0769232,-0.0389954,0.0820284,0.234248,0.026515,0.303979,0.0994002,0.24059,0.233357,-0.00575192,-0.0645933,-0.110567,0.221245,-0.072072,0.110175,-0.188869,0.193814,0.0730207,-0.000846008,-0.11236,-0.0129706,-0.0645455,-0.12747,0.196837,0.00914557,0.0032032,-0.0746129,0.00373144,-0.041327,-0.0228889
0.0732482,0.0950627,0.117389,-0.0718561,0.0944811,-0.0864199,0.272097,0.192808,0.215061,0.0226944,0.207262,-0.126797,-0.120891,0.0128206,0.0408164,-0.067,-0.0798479,0.120808,0.0334097,0.123795,0.0218579,0.0270986,0.0663684,0.151964,-0.109849,0.166341,0.109683,0.173432,0.115627,-0.0402629,0.00478475,-0.0545835,0.20293,-0.0840841,0.129824,-0.156305,0.143299,-0.0399693,-0.0406091,-0.0892268,-0.141841,-0.0909092,0.0395257,0.105448,0.0734054,-0.0342341,-0.0671046,0.102239,-0.00281141,-0.0280823
0.0764331,0.0110539,0.229128,-0.0943113,0.100221,-0.00102904,0.362218,0.265964,0.138481,0.0468372,0.147756,-0.0999999,0.0194986,0.0582751,0.0342858,-0.057,0.0551331,0.152044,-0.0434782,0.0941438,0.114754,0.0548578,0.11484,0.117865,-0.096591,0.049576,0.162811,-0.0103319,0.00280297,0.0649138,0.0693779,0.0139959,0.123809,-0.0292792,0.135439,-0.107164,0.0974227,0.00153725,-0.0905246,0.0456046,-0.124268,-0.0295455,-0.0395256,0.0887523,0.0762936,-0.0194195,-0.0206476,0.0694029,-0.016587,-0.0413541
0.0581209,0.0862197,0.188952,-0.146706,0.107285,0.210905,0.142114,0.295722,0.14231,0.107678,0.0872417,-0.0973856,0.0729804,0.0734266,0.00244896,-0.135,0.0180608,0.120808,0.00594965,0.140474,0.110551,0.0865831,0.0715884,0.0192736,-0.0123107,-0.0606654,0.175664,-0.128413,-0.0770848,0.0969598,0.0247209,0.0342898,0.0109889,-0.0045045,0.0933332,-0.0627591,0.10567,0.0530362,-0.0642977,-0.00727053,-0.0146442,0.0313636,0.0750989,-0.00702988,0.0697954,0.00960969,-0.0215861,-0.0395523,-0.0610066,-0.0357761
0.0286623,0.143699,0.214062,-0.0868263,0.126269,0.411522,0.135182,0.16305,0.063178,0.0574602,0.0105902,-0.0777778,0.108635,0.120047,-0.00163256,0.00299999,0.0152091,0.142857,0.135012,0.231282,0.117276,-0.00793115,0.0171513,0.0763529,0.0672347,-0.0547946,0.0891175,-0.0863468,-0.0259286,0.0460148,-0.0015949,-0.0412874,-0.0527472,0.0232732,-0.0435087,-0.0337478,0.0391753,0.108378,-0.0143823,0.0998015,0.079498,0.0413637,0.0444664,-0.0316344,0.0423584,0.0394394,-0.00140772,-0.145522,-0.0865899,-0.0148106
0.0286623,0.131172,0.31199,-0.110778,0.0913907,0.435185,0.154246,-0.00185981,0.0810466,0.0516659,-0.0216842,-0.0679738,0.150975,0.201632,0.0302041,0.112,-0.0446768,0.0546625,0.267735,0.154559,0.0369903,-0.0502312,0.00671134,0.0667161,0.102273,-0.0724071,0.206512,-0.140959,-0.0918009,0.0534101,-0.0558214,-0.0216933,0.0205128,-0.0232732,-0.173333,-0.0781529,-0.00618561,0.0707148,0.0262267,0.052875,0.151883,0.0404545,0.114625,-0.0193321,0.0320095,0.0134135,0.0131394,-0.0977611,-0.0596008,-0.0163492
