PD1[][0],PD1[][1],PD1[][2],PD1[][3],PD1[][4],PD1[][5],PD1[][6],PD1[][7],PD1[][8],PD1[][9],PD1[][10],PD1[][11],PD1[][12],PD1[][13],PD1[][14],PD1[][15],PD1[][16],PD1[][17],PD1[][18],PD1[][19],PD1[][20],PD1[][21],PD1[][22],PD1[][23],PD1[][24],PD1[][25],PD1[][26],PD1[][27],PD1[][28],PD1[][29],PD1[][30],PD1[][31],PD1[][32],PD1[][33],PD1[][34],PD1[][35],PD1[][36],PD1[][37],PD1[][38],PD1[][39],PD1[][40],PD1[][41],PD1[][42],PD1[][43],PD1[][44],PD1[][45],PD1[][46],PD1[][47],PD1[][48],PD1[][49]
-0.242857,-0.187675,0.235495,0.758865,0.57913,0.193501,0.549199,0.271255,0.43696,-0.051282,0.206657,0.131285,0.311538,-0.028,0.173432,-0.114372,0.0604396,0.431591,0.199409,0.20381,0.0967741,0.355586,0.197869,-0.140425,-0.031515,0.663628,0.0589849,0.152663,0.188073,-0.00521512,-0.149492,0.101266,-0.15,0.293269,0.398182,0.186813,0.281915,-0.178261,-0.197932,0.433515,-0.282353,0.263547,-0.159639,0.0883458,0.174312,0.169091,-0.0171731,-0.04,-0.0769232,0.0285188
-0.245238,-0.431373,0.177474,0.762411,0.481739,-0.107829,0.723112,0.558704,0.343696,0.144231,0.142857,0.128492,0.111538,-0.104,-0.0221402,-0.163967,0.054945,0.387097,0.171344,0.2,0.048387,0.287466,0.334855,-0.102128,0.105455,0.690976,0.0644719,0.115976,0.100917,0.095176,-0.0696662,0.0216998,-0.00625,0.596154,0.470909,0.20696,0.179521,-0.130435,-0.118168,0.340619,-0.101961,0.172414,-0.0180722,0.148496,0.0137614,0.00909085,-0.130779,0.0514285,-0.120879,-0.00459972
-0.264286,-0.210084,0.0511945,0.804965,0.453913,-0.388479,0.62929,0.437247,0.16753,0.214743,0.120666,0.145251,-0.0384616,-0.106,0.0676507,-0.216599,-0.00329672,0.171301,0.220088,0.0257143,0.0290322,0.354223,0.234399,-0.0138297,0.332121,0.47949,0.1893,0.150296,0.027523,0.241199,0.0595066,-0.0596745,-0.0604168,0.637019,0.341818,0.115385,0.0904256,-0.0891304,-0.0103398,0.0601092,-0.0509804,0.204434,0.0180724,0.135338,-0.112385,-0.0381819,-0.125495,0.0742856,-0.220779,-0.120515
-0.0285714,-0.0168067,-0.0921501,0.843971,0.398261,-0.0960119,0.446224,0.340081,0.132988,0.0993589,0.101248,0.23743,-0.1,0.0559999,0.184502,-0.187247,0.053846,0.0289211,0.245199,0.097143,0.209677,0.33515,0.386606,0.105319,0.501818,0.257976,0.208505,0.108876,0.0871558,0.275098,0.0885342,0.0849909,-0.0354168,0.954327,0.423636,0.163004,0.118351,-1.06e-07,0.314623,-0.0692167,0.0235294,0.174877,-0.0873493,0.00187979,0.0229357,0.121818,-0.254954,-0.072381,-0.0389611,-0.173873
0.0333334,-0.0196079,0.0238908,0.638298,0.123478,0.196455,0.194508,0.109312,0.381693,0.0673076,0.209431,0.100559,0.119231,0.13,0.271833,0.0172065,0.120879,0.116796,0.317577,0.321905,0.249462,0.303815,0.307458,0.129787,0.570909,0.237922,0.231824,0.0863906,0.117737,0.307692,0.179971,0.347197,0.108333,0.71875,0.698182,0.155678,0.0864362,-0.00652184,0.407681,-0.191257,-0.123529,0.113301,-0.135542,0.116542,0.100917,0.0799998,-0.270806,-0.171429,-0.048951,0.0340387
0,-0.0364145,0.255973,0.556737,0.217391,0.350074,0.169336,-0.105263,0.350604,0.176282,0.237171,-0.0167597,0.211538,0.082,0.351783,0.354251,0.212088,0.320356,0.360413,0.437143,0.421505,0.464577,0.386606,0.143617,0.328485,0.260711,0.24417,0.0118343,0.191131,0.432855,0.230769,0.441229,0.172917,0.485577,0.689091,0.461538,0.25266,0.0282609,0.330871,-0.0163934,-0.00196078,-0.293103,-0.192771,0.157895,0.0252293,-0.0727274,-0.0118891,-0.161905,-0.0289711,0.118675
-0.12619,-0.173669,0.215017,0.51773,0.193043,0.202363,0.0480549,-0.0364373,0.481865,0.0224359,0.217753,0.134078,0.288461,0.046,0.242312,0.567814,0.215385,0.705228,0.333826,0.445714,0.325806,0.422343,0.445966,0.106383,0.317576,0.459435,0.36214,0.0130177,0.197248,0.509778,0.206096,0.452079,0.127083,0.115385,0.667273,0.342491,0.292553,0.0347825,0.215657,0,0.090196,-0.401478,-0.111446,0.274436,0.0366972,-0.0545455,0.231176,-0.0876191,0.0449549,0.278749
-0.15,-0.229692,0.0273038,0.368794,0.172174,0.21418,0.0594966,0.0931173,0.392055,0.182692,0.0957005,0.298883,0.365384,0.082,0.130381,0.676113,0.215385,0.756396,0.299852,0.458095,0.294624,0.269755,0.537291,0.111702,0.381818,0.618049,0.386831,0.0627219,0.133027,0.468057,0.296081,0.249548,0.0208333,0.0673077,0.72,0.157509,0.0917552,0.0565217,0.29099,0.0965391,0.0588235,-0.288177,-0.0572288,0.343985,0.0802752,-0.22,0.476882,-9.12e-08,0.220779,0.195952
-0.116667,0.0700281,-0.170648,0.414894,0.116522,-0.0132939,0.0251716,0.133603,-0.00863561,0.221154,0.00416076,0.449721,0.184615,0.138,0.140221,0.584008,0.186813,0.646274,0.180207,0.255238,0.249462,0.243869,0.38965,0.27766,0.266667,0.618049,0.43347,0.0982248,0.0581038,0.32073,0.325109,0.135624,-0.30625,0.0312501,0.554546,-0.0824176,-0.0944149,-0.0304348,0.299852,0.0327869,0.0274509,-0.0566503,-0.0391565,0.334586,0.0688074,-0.332727,0.535006,0.0514286,0.216783,0.0303589
0.0452379,0.047619,-0.109215,0.450354,0.0608696,0.217134,0.0251715,0.153846,-0.336788,-0.00320519,-0.0152566,0.256983,0.142308,0.348,0.0639607,0.312753,0.171428,0.420467,0.0103396,0.138095,0.190322,0.0762942,0.458143,0.288298,0.238788,0.531449,0.377229,0.149112,0.0122324,0.119948,0.309144,0.103074,-0.341667,0.362981,0.638182,-0.190476,-0.0797872,-0.0586957,0.401772,-0.0182149,-0.121569,0.0492611,0.0120481,0.0319549,0.188073,-0.327273,0.141347,-0.0971428,0.108891,-0.129715
